Order ID,longitude,latitude,product_type,product_rating,product_price,order_timestamp
0,-122.05,37.37,furniture,75.4,1065,11/3/2023 7:00:00 PM
1,-118.3,34.26,tech,72.9,558,11/26/2023 8:00:00 PM
2,-117.81,33.78,furniture,79.2,439,11/25/2023 4:00:00 PM
3,-118.36,33.82,furniture,82.5,957,11/24/2023 7:00:00 PM
4,-119.67,36.33,tech,100,270,11/15/2023 4:00:00 PM
5,-119.56,36.51,furniture,85.5,3995,11/4/2023 5:00:00 PM
6,-121.43,38.63,furniture,71.2,2545,11/16/2023 4:00:00 PM
7,-120.65,35.48,tech,100,919,11/4/2023 5:00:00 PM
8,-122.84,38.4,toy,82.6,20,11/15/2023 7:00:00 PM
9,-118.02,34.08,tech,76.3,461,11/3/2023 8:00:00 PM
10,-118.24,33.98,tech,92.3,746,11/23/2023 6:00:00 PM
11,-119.12,35.85,furniture,97.7,1036,11/19/2023 4:00:00 PM
12,-121.93,37.25,toy,78.8,9,11/1/2023 2:00:00 PM
13,-117.03,32.97,toy,60.5,18,11/7/2023 6:00:00 PM
14,-117.97,33.73,toy,79,20,11/2/2023 5:00:00 PM
15,-117.99,33.81,tech,87.1,823,11/26/2023 4:00:00 PM
16,-120.81,37.53,tech,89,166,11/2/2023 6:00:00 PM
17,-121.2,38.69,furniture,64.1,103,11/14/2023 7:00:00 PM
18,-118.88,34.21,toy,92.9,8,11/11/2023 7:00:00 PM
19,-122.59,38.01,toy,84.9,7,11/5/2023 6:00:00 PM
20,-122.15,37.75,tech,86.6,194,11/18/2023 3:00:00 PM
21,-121.37,38.68,toy,71.1,12,11/3/2023 12:00:00 PM
22,-118.16,34.07,toy,68.5,17,11/26/2023 6:00:00 PM
23,-122.2,37.79,toy,87.4,6,11/5/2023 6:00:00 PM
24,-117.28,33.28,furniture,58.3,2951,11/30/2023 2:00:00 PM
25,-118.03,34.16,toy,75.6,19,11/19/2023 6:00:00 PM
26,-122.42,37.76,tech,89.5,601,11/3/2023 5:00:00 PM
27,-118.39,33.99,tech,87.2,850,11/15/2023 5:00:00 PM
28,-118.45,34.07,furniture,94.7,2155,11/19/2023 4:00:00 PM
29,-118.48,34.01,furniture,84.1,3721,11/13/2023 2:00:00 PM
30,-119.35,36.33,tech,100,170,11/16/2023 7:00:00 PM
31,-118.3,33.91,furniture,100,4428,11/27/2023 2:00:00 PM
32,-121.13,39.31,tech,58.6,979,11/15/2023 2:00:00 PM
33,-118.08,34.55,tech,75.6,589,11/30/2023 8:00:00 PM
34,-118.32,33.94,furniture,84.3,3873,11/13/2023 5:00:00 PM
35,-118.11,34,furniture,81.8,3446,11/11/2023 7:00:00 PM
36,-122.53,37.97,furniture,76.8,2864,11/15/2023 9:00:00 PM
37,-118.02,33.92,toy,70,15,11/5/2023 6:00:00 PM
38,-118.05,33.93,toy,85.4,20,11/11/2023 5:00:00 PM
39,-119.01,34.23,furniture,70.6,303,11/12/2023 4:00:00 PM
40,-119.32,36.2,tech,77.9,400,11/15/2023 9:00:00 PM
41,-116.92,32.77,tech,58,326,11/25/2023 8:00:00 PM
42,-118.06,34.15,tech,81.5,840,11/30/2023 5:00:00 PM
43,-117.27,34.09,toy,87.1,18,11/17/2023 8:00:00 PM
44,-118.23,34.13,tech,72.1,427,11/26/2023 2:00:00 PM
45,-117.24,33.17,furniture,68.4,2834,11/21/2023 3:00:00 PM
46,-121.91,37.44,toy,95,19,11/29/2023 3:00:00 PM
47,-118.29,33.94,furniture,87.3,4236,11/18/2023 3:00:00 PM
48,-121.35,38,tech,90.9,860,11/12/2023 5:00:00 PM
49,-117.99,33.78,furniture,71.2,2376,11/12/2023 1:00:00 PM
50,-120.99,37.7,tech,58.5,515,11/16/2023 8:00:00 PM
51,-119.42,35.97,tech,100,736,11/10/2023 8:00:00 PM
52,-122.21,37.8,toy,87.1,5,11/11/2023 4:00:00 PM
53,-118.17,33.8,furniture,95.5,4179,11/6/2023 10:00:00 PM
54,-117.9,34.09,toy,100,18,11/3/2023 6:00:00 PM
55,-117.99,33.93,tech,73.1,101,11/5/2023 6:00:00 PM
56,-121.42,38.72,tech,57.3,897,11/8/2023 4:00:00 PM
57,-118.77,34.26,furniture,87.1,999,11/30/2023 6:00:00 PM
58,-121.93,37.33,furniture,84.7,3070,11/8/2023 6:00:00 PM
59,-121.82,37.25,tech,77,989,11/18/2023 9:00:00 PM
60,-122.29,37.56,furniture,83.1,2991,11/22/2023 5:00:00 PM
61,-121.78,37.23,furniture,77.3,2230,11/4/2023 5:00:00 PM
62,-118.41,34,toy,100,12,11/30/2023 7:00:00 PM
63,-121.67,40.87,tech,60.8,687,11/22/2023 5:00:00 PM
64,-118,33.92,furniture,84.9,2153,11/13/2023 3:00:00 PM
65,-117.22,32.73,furniture,58.7,4472,11/5/2023 7:00:00 PM
66,-121.08,37.69,tech,81.9,403,11/9/2023 4:00:00 PM
67,-117.53,33.92,toy,93.8,19,11/24/2023 4:00:00 PM
68,-117.46,34.08,furniture,78.7,1721,11/19/2023 9:00:00 PM
69,-117.97,33.86,furniture,75.8,4229,11/12/2023 2:00:00 PM
70,-121.92,37.33,tech,64.6,851,11/28/2023 6:00:00 PM
71,-118.2,34.04,furniture,80,3602,11/24/2023 4:00:00 PM
72,-118.06,33.8,furniture,92,4666,11/17/2023 3:00:00 PM
73,-122.05,37.36,furniture,80.1,2419,11/10/2023 7:00:00 PM
74,-123.79,39.5,tech,71,701,11/4/2023 8:00:00 PM
75,-120.79,37.49,tech,88.1,188,11/21/2023 6:00:00 PM
76,-121.89,37.35,tech,96.6,465,11/15/2023 5:00:00 PM
77,-118.43,34.2,furniture,84.5,4166,11/13/2023 5:00:00 PM
78,-118.75,34.17,furniture,80.4,1904,11/30/2023 8:00:00 PM
79,-122.47,37.99,toy,71.8,8,11/14/2023 8:00:00 PM
80,-120.69,37.4,tech,74.4,998,11/9/2023 6:00:00 PM
81,-118.28,34.05,tech,76.6,736,11/17/2023 8:00:00 PM
82,-118.44,34.25,toy,71.5,10,11/24/2023 10:00:00 PM
83,-122.05,38.26,toy,71.3,13,11/18/2023 4:00:00 PM
84,-121.99,37.35,furniture,85.2,2960,11/28/2023 5:00:00 PM
85,-121.02,37.68,toy,92.2,16,11/15/2023 5:00:00 PM
86,-119.85,36.74,tech,99.6,355,11/30/2023 5:00:00 PM
